child_category_uri,parent_category_uri
http://data.europa.eu/esco/skill/1d4be2e3-ac64-426f-838d-1e7cb8600927,http://data.europa.eu/esco/skill/c1a13ee0-b00d-4cfa-a22c-20d284e398b0
http://data.europa.eu/esco/isced-f/0914,http://data.europa.eu/esco/isced-f/091
http://data.europa.eu/esco/isced-f/1032,http://data.europa.eu/esco/isced-f/103
http://data.europa.eu/esco/isced-f/1022,http://data.europa.eu/esco/isced-f/102
http://data.europa.eu/esco/skill/20136935-e6a1-417b-81df-9b94d4c2c371,http://data.europa.eu/esco/skill/325a3d29-a235-4182-9128-782c0f4b2dcc
http://data.europa.eu/esco/skill/af84405b-896d-4ed3-9462-077ea9a2a188,http://data.europa.eu/esco/skill/b76cd1e5-d5e7-464a-b7bb-4164d3616452
http://data.europa.eu/esco/isced-f/0031,http://data.europa.eu/esco/isced-f/003
http://data.europa.eu/esco/skill/87dff904-fb74-4d59-972e-1c2387579d94,http://data.europa.eu/esco/skill/5c26881e-2759-4a38-b136-5e0f6071b524
http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,http://data.europa.eu/esco/skill/c5b71c57-6f78-4c54-b332-ec75848f1095
http://data.europa.eu/esco/skill/7de7e3f6-d222-4f08-b3f0-e2deff7ef798,http://data.europa.eu/esco/skill/e1746275-6d4e-4b02-b526-eeebf3052b6d
http://data.europa.eu/esco/skill/15fa3879-ac0e-46e6-ae36-609bae9c19c3,http://data.europa.eu/esco/skill/1e95cef2-9c35-4f9f-b6a9-cb458c3e5379
,http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab
http://data.europa.eu/esco/skill/aab9f44d-fe0e-46d8-a470-11ce82a64846,http://data.europa.eu/esco/skill/7a00c77c-4a1c-4fd6-a83f-004bda65d81a
http://data.europa.eu/esco/isced-f/0688,http://data.europa.eu/esco/isced-f/068
http://data.europa.eu/esco/skill/d1815c8a-7755-4fe3-bacf-68bb0b6a0b55,http://data.europa.eu/esco/skill/c85f95ae-34fb-487b-b3d5-10803eee619d
http://data.europa.eu/esco/isced-f/0713,http://data.europa.eu/esco/isced-f/071
http://data.europa.eu/esco/skill/f7fc7bf8-f41d-44af-81e3-09b88e9779e6,http://data.europa.eu/esco/skill/1e95cef2-9c35-4f9f-b6a9-cb458c3e5379
http://data.europa.eu/esco/isced-f/0411,http://data.europa.eu/esco/isced-f/041
http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,http://data.europa.eu/esco/skill/cacc62f3-2df4-4cc3-9d5d-0d014db56bd9
http://data.europa.eu/esco/isced-f/0314,http://data.europa.eu/esco/isced-f/031
http://data.europa.eu/esco/skill/b1115b14-fa16-4c1e-be6c-91fd49a1808b,http://data.europa.eu/esco/skill/cacc62f3-2df4-4cc3-9d5d-0d014db56bd9
